location,words,box_idx,time
"(731, 489)",USS Nimitz(CVN-68,0,"September 16, 2019 11:49 AM"
"(787, 1135)",USS Bataan(LHD-5,1,"September 16, 2019 11:49 AM"
"(812, 541)",USS Bataan(LHD-5,1,"September 16, 2019 11:49 AM"
"(876, 3786)",Ronald reagan CSG,2,"September 16, 2019 11:49 AM"
"(904, 951)","(San Diego, Calif",4,"September 16, 2019 11:49 AM"
"(978, 2894)",USS Wasp(LHD-1) USS Dwight D. Eisenhower(CVN-69),3,"September 16, 2019 11:49 AM"
"(1118, 2685)",Abraham Lincoln CSG,5,"September 16, 2019 11:49 AM"
"(1118, 2685)",Boxer ARG,6,"September 16, 2019 11:49 AM"
"(769, 1136)",Harry s. Truman CSG,0,"August 5, 2019 11:35 AM"
"(870, 2727)",Boxer arg,1,"August 5, 2019 11:35 AM"
"(948, 2920)",Abraham Lincoln csg Ronald Reagan CSG,2,"August 5, 2019 11:35 AM"
"(1058, 3750)",Wasp ESG,3,"August 5, 2019 11:35 AM"
"(1450, 4157)",Wasp ESG,3,"August 5, 2019 11:35 AM"
"(760, 1175)",USS Bataan(LHD-5,1,"August 26, 2019 10:01 AM"
"(770, 3858)",Wasp eSG,4,"August 26, 2019 10:01 AM"
"(809, 3762)","(Yokosuka, Japan)",2,"August 26, 2019 10:01 AM"
"(837, 1060)","USS John C, Stennis(CVN-74)",5,"August 26, 2019 10:01 AM"
"(884, 2526)",Boxer Arg,3,"August 26, 2019 10:01 AM"
"(976, 2934)",Abraham Lincoln csg,6,"August 26, 2019 10:01 AM"
"(770, 3858)",Ronald reagan CSg,0,"August 26, 2019 10:01 AM"
"(770, 495)",America ARG,0,"October 7, 2019 10:37 AM"
"(964, 2898)",Abraham Lincoln CSG,1,"October 7, 2019 10:37 AM"
"(1088, 3655)",Ronald Reagan CSg,2,"October 7, 2019 10:37 AM"
"(1337, 921)",USS Wasp(LHD-1),4,"October 7, 2019 10:37 AM"
"(1088, 3655)",Boxer Arg,3,"October 7, 2019 10:37 AM"
"(791, 1136)",USS John C Stennis(CVN-74),1,"August 12, 2019 10:52 AM"
"(909, 3785)",Isp ESG,3,"August 12, 2019 10:52 AM"
"(913, 2805)",Boxer Arg,2,"August 12, 2019 10:52 AM"
"(960, 2917)",Abraham Lincoln cSg,4,"August 12, 2019 10:52 AM"
"(1154, 3829)",Ronald Reagan CSg,5,"August 12, 2019 10:52 AM"
"(791, 1136)",USS Dwight D. Eisenhower(CVN-69),0,"August 12, 2019 10:52 AM"
"(770, 3858)","(Yokosuka, Japanl",3,"September 9, 2019 11:37 AM"
"(787, 1135)",USS Dwight D. Eisenhower (CVN-69),2,"September 9, 2019 11:37 AM"
"(831, 144)",Wasp eSG,1,"September 9, 2019 11:37 AM"
"(884, 2526)",Boxer Arg,4,"September 9, 2019 11:37 AM"
"(886, 1038)",USS Bataan(LHD-5,5,"September 9, 2019 11:37 AM"
"(978, 2894)",Abraham Lincoln CSG,6,"September 9, 2019 11:37 AM"
"(770, 3858)",Ronald reagan csg,0,"September 9, 2019 11:37 AM"
"(834, 507)",USS Dwight D. Eisenhower(CVN-69),1,"September 23, 2019 12:21 PM"
"(853, 1047)",USS Nimitz(CVN-68,0,"September 23, 2019 12:21 PM"
"(978, 2894)",Abraham Lincoln csg,2,"September 23, 2019 12:21 PM"
"(1047, 3749)",Ronald Reagan CSG,3,"September 23, 2019 12:21 PM"
"(1199, 3089)",Boxer ARG,4,"September 23, 2019 12:21 PM"
"(791, 1136)",USS John C Stennis(CVN-74),0,"August 19, 2019 11:42 AM"
"(940, 3799)",Abraham Lincoln CSg,1,"August 19, 2019 11:42 AM"
"(963, 2955)",Boxer ARG,2,"August 19, 2019 11:42 AM"
"(1052, 2619)",Boxer ARG,2,"August 19, 2019 11:42 AM"
"(940, 3799)",Ronald reagan csg,3,"August 19, 2019 11:42 AM"
"(760, 1105)","(Norfolk, Va)",1,"September 30, 2019 10:26 AM"
"(972, 539)",USS Wasp(LHD-1,3,"September 30, 2019 10:26 AM"
"(978, 2916)",Abraham Lincoln csg,2,"September 30, 2019 10:26 AM"
"(1088, 3655)",Ronald Reagan CSg,4,"September 30, 2019 10:26 AM"
